交易日期,date,,,
市場名稱,market,,,
成交頭數-總數,averageUnit,,,Weight
成交頭數-平均重量,averageWeight,,,Price
成交頭數-平均價格,averagePrice,,,
規格豬(75公斤以上)-頭數,standard75UpUnit,,,
規格豬(75公斤以上)-平均重量,standard75UpWeight,,,
規格豬(75公斤以上)-平均價格,standard75UpPrice,,,
75公斤以下-頭數,under75Unit,,,
75公斤以下-平均重量,under75Weight,,,
75公斤以下-平均價格,under75Price,,,
75(含)-95(不含)-頭數,btw7595Unit,,,
75(含)-95(不含)-平均重量,btw7595Weight,,,
75(含)-95(不含)-平均價格,btw7595Price,,,
95(含)-115(含)-頭數,btw95115Unit,,,
95(含)-115(含)-平均重量,btw95115Weight,,,
95(含)-115(含)-平均價格,btw95115Price,,,
115(含)-135(不含)-頭數,btw115135Unit,,,
115(含)-135(不含)-平均重量,btw115135Weight,,,
115(含)-135(不含)-平均價格,btw115135Price,,,
135(含)-155(不含)-頭數,btw135155Unit,,,
135(含)-155(不含)-平均重量,btw135155Weight,,,
135(含)-155(不含)-平均價格,btw135155Price,,,
155公斤以上-頭數,up155Unit,,,
155公斤以上-平均重量,up155Weight,,,
155公斤以上-平均價格,up155Price,,,
淘汰種豬-頭數,disuseSexulUnit,,,Weight
淘汰種豬-平均重量,disuseSexulWeight,,,Price
淘汰種豬-平均價格,disuseSexulPrice,,,
其他豬-頭數,otherPigUnit,,,
其他豬-平均重量,otherPigWeight,,,
其他豬-平均價格,otherPigPrice,,,
冷凍廠-頭數,freezeUnit,,,
冷凍廠-平均重量,freezeWeight,,,
冷凍廠-平均價格,freezePrice,,,
成交總數(不含冷凍廠)-頭數,totalNofreezeUnit,,,
成交總數(不含冷凍廠)-平均重量,totalNofreezeWeight,,,
成交總數(不含冷凍廠)-平均價格,totalNofreezePrice,,,
